"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NWSA","News Corporation","12.89","$7.58B","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/nwsa",
"NEWT","Newtek Business Services Corp.","22.91","$439M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/newt",
"NEWTI","Newtek Business Services Corp.","25.54","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/newti",
"NEWTL","Newtek Business Services Corp.","25.7887","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/newtl",
"NXST","Nexstar Media Group, Inc.","102.77","$4.74B","2003","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/nxst",
"NXTC","NextCure, Inc.","36.35","$825.68M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nxtc",
"NEXT","NextDecade Corporation","6.45","$778.92M","2015","Public Utilities","Oil & Gas Production","https://old.nasdaq.com/symbol/next",
"NXGN","NextGen Healthcare, Inc.","16.795","$1.1B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/nxgn",
"BIMI","NF Energy Saving Corporation","2.74","$24.86M","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/bimi",
"NGM","NGM Biopharmaceuticals, Inc.","13.85","$914.7M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ngm",
"NODK","NI Holdings, Inc.","16.6","$366.78M","2017","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/nodk",
"EGOV","NIC Inc.","23.04","$1.54B","1999","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/egov",
"NICE","NICE Ltd","151.85","$9.44B","n/a","Technology","Computer Manufacturing","https://old.nasdaq.com/symbol/nice",
"NICK","Nicholas Financial, Inc.","9.45","$74.66M","n/a","Finance","Finance Companies","https://old.nasdaq.com/symbol/nick",
"NCBS","Nicolet Bankshares Inc.","70.5","$660.34M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ncbs",
"NIHD","NII Holdings, Inc.","1.86","$189.11M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/nihd",
"NIU","Niu Technologies","8.98","$667.55M","2018","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/niu",
